State,Capacity Factor - Wind (onshore),Capacity Factor - PV (utility-scale),Capacity Factor - PV (DG),Capacity Factor - Offshore Wind
AK,0.37,0.12,0.10,0.42
AL,0.32,0.22,0.19,0.42
AR,0.33,0.21,0.19,0.42
AZ,0.32,0.28,0.23,0.42
CA,0.35,0.29,0.21,0.42
CO,0.38,0.25,0.20,0.42
CT,0.31,0.22,0.16,0.42
DE,0.31,0.22,0.18,0.42
FL,0.32,0.22,0.20,0.42
GA,0.33,0.23,0.15,0.42
HI,0.43,0.23,0.20,0.42
IA,0.41,0.20,0.17,0.42
ID,0.33,0.20,0.17,0.42
IL,0.35,0.22,0.17,0.42
IN,0.34,0.24,0.17,0.42
KS,0.44,0.22,0.19,0.42
KY,0.33,0.23,0.18,0.42
LA,0.31,0.22,0.19,0.42
MA,0.37,0.24,0.16,0.42
MD,0.33,0.23,0.16,0.42
ME,0.34,0.18,0.15,0.42
MI,0.33,0.20,0.16,0.42
MN,0.39,0.19,0.17,0.42
MO,0.34,0.21,0.18,0.42
MS,0.32,0.22,0.19,0.42
MT,0.39,0.20,0.17,0.42
NC,0.34,0.25,0.16,0.42
ND,0.44,0.19,0.16,0.42
NE,0.44,0.21,0.19,0.42
NH,0.36,0.19,0.17,0.42
NJ,0.32,0.21,0.17,0.42
NM,0.38,0.28,0.23,0.42
NV,0.33,0.27,0.22,0.42
NY,0.33,0.21,0.16,0.42
OH,0.32,0.22,0.17,0.42
OK,0.40,0.23,0.20,0.42
OR,0.34,0.21,0.16,0.42
PA,0.33,0.21,0.17,0.42
RI,0.37,0.22,0.17,0.42
SC,0.31,0.25,0.17,0.42
SD,0.44,0.20,0.17,0.42
TN,0.33,0.24,0.19,0.42
TX,0.39,0.24,0.20,0.42
UT,0.32,0.25,0.21,0.42
VA,0.34,0.24,0.16,0.42
VT,0.35,0.22,0.16,0.42
WA,0.34,0.18,0.14,0.42
WI,0.33,0.20,0.16,0.42
WV,0.35,0.23,0.16,0.42
WY,0.40,0.20,0.17,0.42
